Part Description,Vendor,Vendor Part #,Manufacturer,Man Part #,# Needed (per robot),Website,,,,
,,,,,,,,,,
Chassis,RobotShop,RB-Lyn-454,Lynxmotion,,1,http://www.robotshop.com/en/lynxmotion-aluminum-a4wd1-chassis.html,,,,
Wheels (pair),,RB-Lyn-23,Lynxmotion,,2,http://www.robotshop.com/en/rblyn23-off-road-robot-tire.html,,,,
Mounting hubs (pair),,RB-Lyn-218,Lynxmotion,,2,http://www.robotshop.com/en/lynxmotion-mounting-hub-12.html,,,,
US Rangefinder Mount,,RB-Lyn-75,Lynxmotion,MPSH-01,3,http://www.robotshop.com/en/lynxmotion-multi-purpose-sensor-housing.html,,,,
,,,,,,,,,,
Gear Motor 131:1 12V,Pololu,1447,Pololu,,5,https://www.pololu.com/product/1447,,,,
AltIMU-10 v4 Inertial Measurement Unit,,2470,Pololu,,1,https://www.pololu.com/product/2470,,,,
A-Star 32U4 Mini SV Microcontroller,,3104,Pololu,,2,https://www.pololu.com/product/3104,,,,
Parallax PING))) sonar sensor,,1605,Parallax,,4,https://www.pololu.com/product/1605,,,,
Lasercut bottom plate,,,Pololu,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/DWG-Files/BottomPlate.dwg,,,,
Lasercut top plate,,,Pololu,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/DWG-Files/TopPlate.dwg,,,,
Lasercut cover plate,,,Pololu,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/DWG-Files/CoverPlate.dwg,,,,
,,,,,,,,,,
NUC Base,3D Printed,,,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/STL-Files/NUCBasePCB.stl,,,,
Battery Base,,,,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/STL-Files/BatteryBase.stl,,,,
Battery Brace,,,,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/STL-Files/BatteryBrace.stl,,,,
Battery Cross Strap,,,,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/STL-Files/BatteryCrossStrap.stl,,,,
Camera Mount,,,,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/STL-Files/CameraMountLW.stl,,,,
GPS/IMU Mount,,,,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/STL-Files/GPS_IMUMountLW.stl,,,,
Lid Support,,,,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/STL-Files/LidSupportLW.stl,,,,
Ultrasound Tower,,,,,1,https://github.com/BCLab-UNM/Swarmie-Build/blob/master/Swarmie-Assembly/Parts/STL-Files/USTowerLW.stl,,,,
,,,,,,,,,,
2.5 mm right angle power cables,Digikey,CP-2200-ND,Tensility,CA-2200,2,http://www.digikey.com/product-detail/en/CA-2200/CP-2200-ND/568596,,,,
,,,,"
",,,,,,
Intel NUC – Celeron,Newegg,N82E16856102004,Intel,DCCP847DYE,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16856102004&cm_re=nuc_celeron-_-56-102-004-_-Product,,,,
ADATA 32GB mSATA Drive,,N82E16820211882,ADATA,ASP310S3-32G-C,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16820211882,,,,
Intel Wireless/Bluetooth Module,,9SIA0ZX2274825,Intel,7260.HWMANWB.R,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16833106243,,,,
Gskill 4GB Memory Module SODIMM,,N82E16820231767,Gskill,F3-1333C9S-4GSA,2,http://www.newegg.com/Product/Product.aspx?Item=N82E16820231767,,,,
Webcam,,,Logitech,C170,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16826104823,,,,
USB A to USB Mini B - 1’,,N82E16812200472,StarTech,USB2HABM1,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16812200472,,,,
USB A to USB Micro B - 1’,,N82E16812200643,StarTech,UUSBHAUB1,1,http://www.newegg.com/Product/Product.aspx?Item=N82E16812200643,,,,
,,,,,,,,,,
Ublox LEA-6 GPS Dev Board,Mouser,932-MIKROE-1032,MikroElectronica,MIKROE-1032,1,http://www.mouser.com/ProductDetail/mikroElektronika/MIKROE-1032/?qs=sGAEpiMZZMuyGAGFEBEmZt%2fsR%2fWVGgy3,,,,
GPS Antenna,,932-MIKROE-363,MikroElectronica,MIKROE-363,1,http://www.mouser.com/ProductDetail/mikroElektronika/MIKROE-363/?qs=sGAEpiMZZMuBTKBKvsBmlAVOmRCg5CQMOC0gfeMfl8c%3d,,,,
,,,,,,,,,,
Battery Pack: 14.8V 13.6Ah ,,,BatterySpace,CU-JAS316,1,http://www.batteryspace.com/custom-li-ion-18650-battery-pack-14-8v-13-6ah-201wh-10a-rate-2x8s-s.aspx,,,,
Smart Charger (3.0A) for 14.8V Li-ion/Polymer Rechargeable Battery,,,BatterySpace,CH-L1483-52,1,http://www.batteryspace.com/smartcharger30afor148vli-ionpolymerbatterypackstandardfemaletamiyaplug.aspx,,,,
,,,,,,,,,,
Fire Retardant Bag (Pair),Amazon,B007V9MN44,Bluecell,,1,http://www.amazon.com/gp/product/B007V9MN44/ref=pd_lpo_sbs_dp_ss_2?pf_rd_p=1944687502&pf_rd_s=lpo-top-stripe-1&pf_rd_t=201&pf_rd_i=B00B5PXWP4&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=1ENBGE06GYHWCSXY5FNN,1,$10.16,$10.16,http://www.amazon.com/gp/product/B007V9MN44/ref=pd_lpo_sbs_dp_ss_2?pf_rd_p=1944687502&pf_rd_s=lpo-top-stripe-1&pf_rd_t=201&pf_rd_i=B00B5PXWP4&pf_rd_m=ATVPDKIKX0DER&pf_rd_r=1ENBGE06GYHWCSXY5FNN
,,,,,,,,,,
2-56 X 1/2” BINDING HEAD SLOTTED MACHINE SCREW NYLON,Barnhill Bolt,405-256-12-7A30 ,,,1,IMU,,,,
4-40 X 1/2 Pan Head Phillips Machine Screw Nylon,,406-440-12-7A21,,,4,PCB,,,,
4-40 X 1/2” BUTTON SOCKET CAP SCREW STAINLESS STEEL,,511-440-12,,,10,"US Mounts, PCB",,,,
4-40 X 5/8” SOCKET HEAD CAP SCREW STAINLESS STEEL,,504-440-58,,,18,"Lid Support, IMU Mount, US Tower, NUC Base",,,,
4-40 X 1-1/2” SOCKET HEAD CAP SCREW STAINLESS STEEL,,504-440-112,,,8,Battery Base/Brace,,,,
"#4 AN FLAT WASHER, C4 STAINLESS STEEL ID=.125, OD=.312, THK=.032",,306-40-2-C4,,,48,,,,,
"4-40 NYLON INSERT LOCKNUT, COARSE STAINLESS STEEL AF=1/4 , THK=9/64",,280-440-2,,,26,,,,,
"#4 AN FLAT WASHER, Nylon",,302-40-7-FW4-093,,,4,,,,,
M3 X 18 0.5 PITCH METRIC SOCKET HEAD CAP SCREW 12.9 ALLOY STEEL DIN 912,,1946-3-18,,,2,,,,,
M3 X 6 0.5 PITCH BUTTON SOCKET HEAD CAP SCREW ALLOY STEEL ISO 7380-12.9,,1950-3-6,,,8,,,,,
M3 X 4 0.5 PITCH BUTTON SOCKET HEAD CAP SCREW ALLOY STEEL ISO 7380-12.9,,1950-3-4,,,8,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,, ,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,